business_id,name,latitude,longitude,google_place_id,google_name,google_rating,google_user_ratings_total,google_price_level,google_business_status,google_types,google_hours_per_week,google_photo_count,google_unique_photo_contributors,google_has_photos
pvnv9XvTXwYBpfScd29rrQ,Luna Bella,32.260726,-110.891514,ChIJtaa9Lhhu1oYRqI7BxxfwEec,Luna Bella,4.3,4.0,,CLOSED_PERMANENTLY,"establishment, food, point_of_interest, restaurant",,0,0,False
7OrS8FzIChQmkVgTxOew6w,El Sur Restaurant,32.1992569,-110.8941321,ChIJg1iwCI5v1oYRfC-ciy9GIY8,El Sur Mexican Restaurant,4.4,2627.0,1.0,OPERATIONAL,"bar, establishment, food, point_of_interest, restaurant",93.0,10,9,True
pQsozCPdn90Dq9JU9PNzsQ,Two Boots BBQ Shop,32.200072258,-110.9565409273,ChIJ__8jiotw1oYRTfjA_n2e1hI,Two Boots BBQ Shop,4.4,160.0,,CLOSED_PERMANENTLY,"establishment, food, point_of_interest, restaurant",,10,4,True
wSeEtJ-d2C8vqy5v9La9-g,Lonchos Street Tacos & Spirits,32.101558,-110.773666,ChIJV7DQI_Zh1oYR9JcadhfOhkE,LONCHO'S TAQUERIA,4.1,144.0,,CLOSED_PERMANENTLY,"establishment, food, point_of_interest, restaurant",,10,5,True
ak7Rmz3Mu48qfqnw4ExiTA,The Buffalo Spot - Tucson,32.2313572,-110.9576257,ChIJWTP2wwhx1oYRUskoQJrMApU,The Buffalo Spot - Tucson,3.4,363.0,1.0,OPERATIONAL,"establishment, food, point_of_interest, restaurant",89.0,10,4,True
LmbGTYqufVQX8kWuUzO8mg,Tucson Trap & Skeet Club,32.15236,-111.136156,ChIJq-SwLijY1YYRGui4q7ELzgg,Tucson Trap & Skeet Club,4.7,158.0,,OPERATIONAL,"establishment, point_of_interest",30.0,10,9,True
rPKaAsWOJgWvde3aqU5mLQ,Sun-Rise Baking Company,32.2729604,-110.9604898,ChIJt9ueMNdz1oYR4PNu2WDgLK0,Sun-Rise Baking Co.,4.0,19.0,,OPERATIONAL,"bakery, establishment, food, point_of_interest, store",20.0,3,1,True
gGCIGJcKWoPC9xZNDeX3pA,eegee's,32.22942105,-110.9905687,ChIJ8UCIa7Fx1oYRbwCHdzNExxs,eegee's,4.3,1293.0,1.0,OPERATIONAL,"establishment, food, meal_takeaway, point_of_interest, restaurant",80.5,10,9,True
2cpdYwMOeKQtiMDvm39nKg,Cody's Beef 'n Beans,32.264711,-110.931879,ChIJcylGzY1x1oYRfwlkcvcCKYk,Cody's Beef 'n Beans,4.2,278.0,2.0,CLOSED_PERMANENTLY,"establishment, food, point_of_interest, restaurant",,10,7,True
Bb5YSi_C9p4Sp6eD4ZCSVQ,Piezanos Rustic Pizza and Wine,32.2653037311,-110.9285849243,ChIJC-3LIo1x1oYR7Djtl9U4VcU,Piezano's,4.4,414.0,2.0,OPERATIONAL,"establishment, food, point_of_interest, restaurant",61.5,10,8,True
jg1YxrBaK9cB4OT1Zx49Hg,Beer Garden At Reilly Craft Pizza,32.2233807,-110.9696917,ChIJAUwa4OFw1oYRHkyQR7KkVyI,Reilly Craft Pizza and Drink,4.4,1754.0,2.0,OPERATIONAL,"establishment, food, point_of_interest, restaurant",40.0,10,6,True
n5-1AVcqXiThFojV-eQ_og,Dairy Queen,32.2717656,-110.9728961,ChIJG_fY3d1z1oYRPgUN0HiMPa8,Dairy Queen Store,4.1,982.0,1.0,OPERATIONAL,"establishment, food, point_of_interest, store",71.5,10,9,True
eqLgpNj0DnRpMj63IfGVeA,McDonald's,32.171987,-111.071107,ChIJY4MevP5u1oYRjrhVNocwvHI,McDonald's,3.6,2184.0,1.0,OPERATIONAL,"cafe, establishment, food, point_of_interest, restaurant, store",104.0,10,3,True
Nz0AJVskEAlMVgF2HMhFRw,Sunrise Cafe,32.3074071,-110.8458819,ChIJ8-OgxTds1oYRTzuhYfPY6mA,Sunrise Cafe,4.4,58.0,2.0,CLOSED_PERMANENTLY,"establishment, food, point_of_interest, restaurant",,10,3,True
GMsGB-hppzbYWyCYIM8xvA,Chopstix Asian Dining,32.3565544,-111.0952546,ChIJK1nRKLt61oYR60D_TSsPIVE,Chopstix Asian Diner,3.9,589.0,2.0,OPERATIONAL,"establishment, food, point_of_interest, restaurant",52.5,10,10,True
w5DsFKVqKcKXm509vjinqw,Jerry Bobs,32.3070289,-111.011438,ChIJvzaGkhl71oYRVBq5lsd1C2I,Jerry Bob's Restaurant,4.5,1917.0,1.0,OPERATIONAL,"establishment, food, point_of_interest, restaurant",45.0,10,9,True
vdCQoE2il097-vc_gIQzYw,Bruegger's Bagels,32.2220281,-110.9714627266,ChIJlSK70FZ71oYRu8lO1qnGvtc,Bruegger's Bagels,3.1,216.0,1.0,OPERATIONAL,"bakery, cafe, establishment, food, point_of_interest, restaurant, store",84.0,10,5,True
3p60SCbWgBMCw7UcREExMw,El Pollo Loco,32.164434,-110.986674,ChIJT2UcI7xv1oYRxoWlblNAMaY,El Pollo Loco,4.1,1539.0,1.0,OPERATIONAL,"establishment, food, point_of_interest, restaurant",84.0,10,4,True
3w7NRntdQ9h0KwDsksIt5Q,McDonald's,32.3094714307,-110.8921464428,ChIJY4MevP5u1oYRjrhVNocwvHI,McDonald's,3.6,2184.0,1.0,OPERATIONAL,"cafe, establishment, food, point_of_interest, restaurant, store",104.0,10,3,True
